city,lat,lon,max temp,humidity,cloudiness,wind_speed,country,date
beyneu,66.04,-17.34,51.8,93,100,1.12,IS,1596329787
atasu,58.7,81.48,62.82,84,7,7.72,RU,1596329787
lingao,19.01,72.85,80.6,88,75,6.93,IN,1596329788
tessalit,59.38,143.3,64.76,54,0,7.36,RU,1596329788
morlaix,-32.68,-53.55,54.77,91,100,7.11,UY,1596329788
bakreswar,20.52,-13.05,98.58,23,0,7.54,MR,1596329788
barentsburg,18.09,-15.98,81.05,81,0,16.17,MR,1596329789
lazurne,-2.68,111.62,80.71,77,100,5.28,ID,1596329789
calama,9.56,122.49,82.92,69,100,3.53,PH,1596329789
fairbanks,61.81,36.53,46.71,95,82,3.36,RU,1596329789
villa bruzual,40.59,140.47,82,83,75,5.82,JP,1596329789
marcona,-10.34,-67.19,76.73,44,21,1.34,BR,1596329790
syracuse,27.98,-114.06,79.02,60,0,16.62,MX,1596329790
mancio lima,69.47,25.51,50,81,92,6.93,NO,1596329790
ust-nera,4.71,-74.23,59,51,40,10.29,CO,1596329790
qeshm,17.02,54.09,80.6,88,20,3.36,OM,1596329791
sao jose da coroa grande,-3.77,-49.67,76.69,56,77,0.81,BR,1596329791
baghdad,-41.07,145.92,54,63,100,7,AU,1596329791
kahului,-35.12,-71.28,54,100,20,5.82,CL,1596329792
altay,24.56,-81.78,87.8,70,90,10.29,US,1596329710
lavrentiya,-14.97,22.68,51.8,41,20,6.91,ZM,1596329792
codrington,-5.09,-81.11,64.29,81,0,16.26,PE,1596329793
san pedro,41.3,-96.17,75.2,78,90,13.87,US,1596329793
tuka,64.86,-147.8,78.8,44,90,1.83,US,1596329793
poya,50.93,119.29,69.46,83,99,7.43,RU,1596329794
carutapera,51.26,-80.61,53.6,93,90,9.17,CA,1596329794
buala,32.87,59.22,68,30,0,6.93,IR,1596329794
manzanillo,-18.65,-173.98,77,69,75,10.29,TO,1596329795
louisbourg,60.72,-135.05,71.6,30,40,21.92,CA,1596329795
buenaventura,39.05,-27.98,70.99,71,0,8.57,PT,1596329795
chalmette,53.3,59.13,60.8,93,40,6.71,RU,1596329795
srandakan,61.95,159.23,61.02,48,100,4.88,RU,1596329796
ayodhya,-37.88,147.98,55.99,65,0,7,AU,1596329796
do gonbadan,-5.22,145.8,83.03,72,89,5.93,PG,1596329796
husavik,54.37,92.14,56.53,87,95,0.58,RU,1596329796
